PBQ	IQA	SVS	STF	AMK	SCO	JAN	BJN	LYR	NOK	TIK	KTN	CHD	BRW	KAV	ARC	FSP	CNL	BLC	RAN
1.00	0.83	0.00	0.76	0.87	0.82	0.79	0.67	0.14	0.00	0.79	0.86	0.84	0.97	0.93	0.94	0.96	0.94	0.93	0.92
0.83	1.00	0.00	0.72	0.89	0.79	0.81	0.71	0.24	0.09	0.88	0.89	0.87	0.83	0.77	0.81	0.76	0.78	0.79	0.80
0.00	0.00	1.00	0.16	0.01	0.00	0.00	0.12	0.30	0.45	0.12	0.04	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.76	0.72	0.16	1.00	0.90	0.91	0.77	0.60	0.19	0.25	0.68	0.69	0.65	0.72	0.70	0.69	0.65	0.63	0.61	0.57
0.87	0.89	0.01	0.90	1.00	0.91	0.83	0.63	0.17	0.14	0.83	0.84	0.79	0.83	0.79	0.82	0.77	0.75	0.74	0.69
0.82	0.79	0.00	0.91	0.91	1.00	0.92	0.69	0.18	0.15	0.77	0.81	0.76	0.80	0.73	0.76	0.75	0.72	0.71	0.65
0.79	0.81	0.00	0.77	0.83	0.92	1.00	0.75	0.15	0.07	0.83	0.87	0.81	0.80	0.74	0.80	0.79	0.78	0.79	0.82
0.67	0.71	0.12	0.60	0.63	0.69	0.75	1.00	0.59	0.18	0.70	0.64	0.72	0.70	0.65	0.63	0.72	0.66	0.68	0.75
0.14	0.24	0.30	0.19	0.17	0.18	0.15	0.59	1.00	0.48	0.32	0.20	0.29	0.17	0.23	0.18	0.18	0.12	0.17	0.18
0.00	0.09	0.45	0.25	0.14	0.15	0.07	0.18	0.48	1.00	0.13	0.04	0.10	0.00	0.09	0.04	0.00	0.00	0.00	0.00
0.79	0.88	0.12	0.68	0.83	0.77	0.83	0.70	0.32	0.13	1.00	0.95	0.98	0.86	0.77	0.81	0.77	0.82	0.84	0.82
0.86	0.89	0.04	0.69	0.84	0.81	0.87	0.64	0.20	0.04	0.95	1.00	0.95	0.93	0.79	0.86	0.84	0.91	0.92	0.86
0.84	0.87	0.10	0.65	0.79	0.76	0.81	0.72	0.29	0.10	0.98	0.95	1.00	0.89	0.76	0.80	0.85	0.86	0.88	0.86
0.97	0.83	0.00	0.72	0.83	0.80	0.80	0.70	0.17	0.00	0.86	0.93	0.89	1.00	0.90	0.92	0.94	0.96	0.95	0.93
0.93	0.77	0.00	0.70	0.79	0.73	0.74	0.65	0.23	0.09	0.77	0.79	0.76	0.90	1.00	0.98	0.96	0.94	0.90	0.93
0.94	0.81	0.00	0.69	0.82	0.76	0.80	0.63	0.18	0.04	0.81	0.86	0.80	0.92	0.98	1.00	0.97	0.96	0.94	0.94
0.96	0.76	0.00	0.65	0.77	0.75	0.79	0.72	0.18	0.00	0.77	0.84	0.85	0.94	0.96	0.97	1.00	0.96	0.94	0.96
0.94	0.78	0.00	0.63	0.75	0.72	0.78	0.66	0.12	0.00	0.82	0.91	0.86	0.96	0.94	0.96	0.96	1.00	0.98	0.97
0.93	0.79	0.00	0.61	0.74	0.71	0.79	0.68	0.17	0.00	0.84	0.92	0.88	0.95	0.90	0.94	0.94	0.98	1.00	0.98
0.92	0.80	0.00	0.57	0.69	0.65	0.82	0.75	0.18	0.00	0.82	0.86	0.86	0.93	0.93	0.94	0.96	0.97	0.98	1.00









































































































































































































































































































































































